[20-Sep-2015 02:14:34 Europe/Berlin] PHP Fatal error:  Class 'Mustache' not found in C:\xampp\htdocs\ontrack\src\index.php on line 6
[20-Sep-2015 02:15:01 Europe/Berlin] PHP Fatal error:  Class 'Mustache_Autoloader' not found in C:\xampp\htdocs\ontrack\src\index.php on line 6
[20-Sep-2015 02:16:36 Europe/Berlin] PHP Fatal error:  Class 'Mustache' not found in C:\xampp\htdocs\ontrack\src\index.php on line 8
[20-Sep-2015 02:16:42 Europe/Berlin] PHP Fatal error:  Class 'Mustache' not found in C:\xampp\htdocs\ontrack\src\index.php on line 8
[20-Sep-2015 02:16:42 Europe/Berlin] PHP Fatal error:  Class 'Mustache' not found in C:\xampp\htdocs\ontrack\src\index.php on line 8
[20-Sep-2015 02:18:46 Europe/Berlin] PHP Fatal error:  Class 'Mustache' not found in C:\xampp\htdocs\ontrack\src\index.php on line 8
[20-Sep-2015 02:32:21 Europe/Berlin] PHP Fatal error:  Class 'MustacheHandler' not found in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 02:32:46 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 18
[20-Sep-2015 02:33:17 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 18
[20-Sep-2015 02:33:35 Europe/Berlin] PHP Fatal error:  Access to undeclared static property: MustacheHandler::$_oMustache in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 18
[20-Sep-2015 02:35:08 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 20
[20-Sep-2015 04:28:51 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on null in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 04:29:12 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on null in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 04:29:44 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on null in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 04:30:15 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on null in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 04:30:43 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on null in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 04:33:23 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on null in C:\xampp\htdocs\ontrack\src\config.php on line 17
[20-Sep-2015 04:42:02 Europe/Berlin] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in C:\xampp\htdocs\ontrack\src\config.php on line 20
[20-Sep-2015 04:57:31 Europe/Berlin] PHP Fatal error:  Class 'Mustache_Autoloader' not found in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 26
[20-Sep-2015 04:57:43 Europe/Berlin] PHP Fatal error:  Class 'Mustache_Autoloader' not found in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 26
[20-Sep-2015 04:59:08 Europe/Berlin] PHP Fatal error:  Class 'Mustache_Autoloader' not found in C:\xampp\htdocs\ontrack\src\app\handlers\MustacheHandler.php on line 26
[20-Sep-2015 05:04:14 Europe/Berlin] PHP Fatal error:  Call to a member function getMustache() on string in C:\xampp\htdocs\ontrack\src\index.php on line 5
